Title,Author/Creator,Published in,Theses & Dissertations,Subject,Local Subject,Genre,Description,Contents,Uniform title,Other title,ISSN/ISBN/Other Identifier,Related titles,Series,Publisher,Publication Date,Format,Edition,Frequency,General note,Local note,Source,Bound with,Accessibility Note,Note,Awards Note,Exhibitions Note,Language Note,Restrictions on Access Note,Description in another language,Permalink
Digital humanities and theatre studies: New perspectives on the early reception of Ibsen on the German stage,"Hanssen, Jens-Morten","Ibsen studies, 2018, Vol.18 (2)",,informasjonsteknologi (IT) ;   norsk drama ;   resepsjon ;   teaterproduksjon ;   teatervitenskap,,,,,,,ISSN: 1502-1866; EISSN: 1741-8720,,,,,,,,,,Scholars Portal Journals: Taylor & Francis SSH Collection; Taylor & Francis CRKN Social Science and Humanities,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_norart_articles_999921778209502201
Digital Humanities,"Roy, Dibyadyuti ;  Deshbandhu, Aditya","The year's work in critical and cultural theory, 2025-10",,,,,"This year’s review of digital humanities (DH) continues to position DH at the epicentre of debates around AI, while tracing how these conversations have evolved within disciplinary scholarship from 2024 and early 2025. The surveyed interventions critically examine trajectories in contemporary DH where uncritical endorsements of massive datasets and computational complexity often result in algorithmic reductionism, which can obscure and oversimplify complexities in the domain of the humanities and social sciences. Building on the authors’ emphasis on decolonial approaches in DH—scholarship that frequently develops beyond traditional Anglo-American frameworks—this survey of scholarship reveals that significant DH contributions are not necessarily dependent on vast amounts of data. Rather, meaningful work in the discipline can emerge from relatively constrained information infrastructures that leverage the strength of community connections and focus on granular and localized user experiences. The essay is organized into five key areas: small-scale databases in DH; the limitations of scale in Global South and Global Majority contexts; resistance to bias in AI, metadata, and archival practices; user relationships with archives; and the emerging role of video games as digital archives. Together, these scholarly interventions reveal how DH researchers, educators, and practitioners can and should tactically repurpose strategic digital sites, tools, and methods for nuanced approaches that prioritize humanistic enquiry over the supposed objectivity of large-scale computational paradigms.",,,,ISSN: 1077-4254; EISSN: 1471-681X; DOI: 10.1093/ywcct/mbaf019,,,,,,,,,,CRKN Oxford University Press Current,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_crossref_primary_10_1093_ywcct_mbaf019
Digital humanities e biblioteche,"Lana, Maurizio","AIB studi (Roma ), 2020-01, Vol.59 (1/2), p.185",,19th century ;   Digital humanities ;   Academic disciplines ;   aiucd ;   Bible ;   Cultural studies ;   Culture ;   digital libraries ;   Geopolitics ;   Humanities ;   Indexes ;   Libraries ;   Mass media ;   Media studies ;   Middle Ages,,,"Gli inizi delle Digital humanities sono complessi da delineare ma comunque connessi con l'utilizzo di biblioteche esistenti (nel Medioevo o nell'Ottocento) o con la creazione di nuove biblioteche sul finire del secolo scorso, nei progetti dell'Index Thomisticus, dei Computer assisted tools for Septuagint studies, del Thesaurus linguae Graecae. L'impronta metodologica di fondo, attraverso questo inizio multitemporale e multicentrico, è lo studio dei testi attorno al quale si incontrano discipline molto differenti e anche apparentemente lontane. Nel contesto internazionale questa impronta pur presente viene messa in discussione in quanto sarebbe escludente rispetto a una varietà di temi il cui orizzonte va dai cultural studies, ai media studies, all'inclusione geopolitica del Sud del mondo. La situazione italiana, anche attraverso l'AIUCD, l'Associazione di informatica umanistica e cultura digitale, si caratterizza invece per la capacità di riconoscere in forme costantemente rinnovate la capacità vitale del testo e della testualità di costituire il connettivo di una varietà di contenuti e contesti.",,,,ISSN: 2280-9112; EISSN: 2239-6144; EISSN: 2239-6152; DOI: 10.2426/aibstudi-11862,,,Rome: Associazione Italiana di Aeronautica,,,,,,,Library & Information Science Abstracts (LISA); Free E- Journals,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_doaj_primary_oai_doaj_org_article_d85f0f4b757f4b9aa7419b42e4eb2036
Digital humanities—A discipline in its own right? An analysis of the role and position of digital humanities in the academic landscape,"Luhmann, Jan ;  Burghardt, Manuel","Journal of the Association for Information Science and Technology, 2022-02, Vol.73 (2), p.148-171",,"Computer Science ;   Computer Science, Information Systems ;   Information Science & Library Science ;   Science & Technology ;   Technology",,,"Although digital humanities (DH) has received a lot of attention in recent years, its status as “a discipline in its own right” (Schreibman et al., A companion to digital humanities (pp. xxiii–xxvii). Blackwell; 2004) and its position in the overall academic landscape are still being negotiated. While there are countless essays and opinion pieces that debate the status of DH, little research has been dedicated to exploring the field in a systematic and empirical way (Poole, Journal of Documentation; 2017:73). This study aims to contribute to the existing research gap by comparing articles published over the past three decades in three established English‐language DH journals (Computers and the Humanities, Literary and Linguistic Computing, Digital Humanities Quarterly) with research articles from journals in 15 other academic disciplines (corpus size: 34,041 articles; 299 million tokens). As a method of analysis, we use latent Dirichlet allocation topic modeling, combined with recent approaches that aggregate topic models by means of hierarchical agglomerative clustering. Our findings indicate that DH is simultaneously a discipline in its own right and a highly interdisciplinary field, with many connecting factors to neighboring disciplines—first and foremost, computational linguistics, and information science. Detailed descriptive analyses shed some light on the diachronic development of DH and also highlight topics that are characteristic for DH.",,,,ISSN: 2330-1635; EISSN: 2330-1643; DOI: 10.1002/asi.24533,,,"Hoboken, USA: John Wiley & Sons, Inc",,,,,,,EBSCOhost Business Source Complete (OCUL); CRKN Wiley Online Library; Web of Science Core Collection; Scopus; Science Citation Index Expanded; Social Sciences Citation Index,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_crossref_primary_10_1002_asi_24533
Arte latinoamericana dal punto di vista delle Digital Humanities,Cristóbal F Barría Bignotti ;  Chiara Stella Sara Alberti,"Quaderni Culturali IILA, 2021-12, Vol.3 (3), p.11",,Digital humanities,,,,,,,EISSN: 2785-5031; DOI: 10.36253/qciila-1549,,,Rome: Firenze University Press Università degli Studi di Firenze,,,,,,,Political Science Database (OCUL); Politics Collection (OCUL),,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_proquest_journals_3233929060
Una vez más sobre los sures de las digital humanities,"Riande, Gimena Del Rio ;  Fiormonte, Domenico","Acervo : revista do Arquivo Nacional, 2022-03, Vol.35 (1), p.1-15",,digital humanities ;   geopolitics ;   inequities ;   technology,,,"Antes que hablar de humanidades digitales, este artículo propone contextualizarlas críticamente revisando cuestiones relacionadas con la geopolítica del conocimiento y las desigualdades en la investigación a nivel global. Para ello, interroga etiquetas acuñadas desde el norte y piensa el sur o los sures como parte de la epistemología de unas humanidades digitales independientes y sostenibles. Palabras clave: humanidades digitales; geopolítica; tecnología; desigualdad.  ",,,,ISSN: 0102-700X; EISSN: 2237-8723; DOI: 10.64729/an.acervo.v35i1.1850,,,,,,,,,,Scopus; Free E- Journals,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_scopus_primary_2_s2_0_85182845038
"Rappresentazione, organizzazione e trasmissione della conoscenza: Library and information science e digital humanities",Simona Turbanti,"AIB studi (Roma ), 2022-12, Vol.62 (3)",,digital humanities ;   knowledge organization ;   library and information science,,,"L’articolo prende spunto da due recenti lavori monografici che ricadono nello spettro delle digital humanities, entrambi pubblicati da Editrice bibliografica: il volume di Federico Meschini Oltre il libro: forme di testualità e digital humanities (2020) e quello di Francesca Tomasi Organizzare la conoscenza: digital humanities e web semantico: un percorso tra archivi, biblioteche e musei (2022). L’articolo si sofferma in particolare sui legami esistenti tra le istituzioni della memoria, le discipline del libro e del documento e il ‘potenziale’ che può derivare da progetti ideati e sviluppati in ambiente digitale.",,,,ISSN: 2280-9112; EISSN: 2239-6152; DOI: 10.2426/aibstudi-13808,,,Associazione italiana biblioteche,,,,,,,Free E- Journals,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_doaj_primary_oai_doaj_org_article_0b3c1c4f57b84c32b0256abd3bf68984
Digital humanities in the iSchool,"Walsh, John A. ;  Cobb, Peter J. ;  Fremery, Wayne ;  Golub, Koraljka ;  Keah, Humphrey ;  Kim, Jeonghyun ;  Kiplang'at, Joseph ;  Liu, Ying‐Hsang ;  Mahony, Simon ;  Oh, Sam G. ;  Sula, Chris Alen ;  Underwood, Ted ;  Wang, Xiaoguang","Journal of the Association for Information Science and Technology, 2022-02, Vol.73 (2), p.188-203",,"Biblioteks- och informationsvetenskap ;   Computer Science ;   Computer Science, Information Systems ;   Information Science & Library Science ;   Library and Information Science ;   Science & Technology ;   Technology",,,"The interdisciplinary field known as digital humanities (DH) is represented in various forms in the teaching and research practiced in iSchools. Building on the work of an iSchools organization committee charged with exploring digital humanities curricula, we present findings from a series of related studies exploring aspects of DH teaching, education, and research in iSchools, often in collaboration with other units and disciplines. Through a survey of iSchool programs and an online DH course registry, we investigate the various education models for DH training found in iSchools, followed by a detailed look at DH courses and curricula, explored through analysis of course syllabi and course descriptions. We take a brief look at collaborative disciplines with which iSchools cooperate on DH research projects or in offering DH education. Next, we explore DH careers through an analysis of relevant job advertisements. Finally, we offer some observations about the management and administrative challenges and opportunities related to offering a new iSchool DH program. Our results provide a snapshot of the current state of digital humanities in iSchools which may usefully inform the design and evolution of new DH programs, degrees, and related initiatives.",,,,ISSN: 2330-1635; ISSN: 2330-1643; EISSN: 2330-1643; DOI: 10.1002/asi.24535,,,"Hoboken, USA: John Wiley & Sons, Inc",,,,,,,EBSCOhost Business Source Complete (OCUL); CRKN Wiley Online Library; Web of Science Core Collection; Scopus; Science Citation Index Expanded; Social Sciences Citation Index,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_crossref_primary_10_1002_asi_24535
"Digital humanities e culture documentarie: un modello di analisi, valutazione, interpretazione","Vivarelli, Maurizio","AIB studi (Roma ), 2020-09, Vol.60 (3), p.553-589",,Digital humanities ;   Academic disciplines ;   Anthropocene ;   Attitudes ;   Bibliographic literature ;   Culture ;   digital humanties ;   disciplinary relationships ;   Documentation ;   Humanities ;   Information ;   Information science ;   Librarians ;   Libraries ;   Library and information science ;   lis ;   Machinery ;   Mass media ;   Media studies,,,"Questo contributo ha per oggetto l'analisi ed interpretazione delle relazioni disciplinari tra digital humanities e culture documentarie (bibliografia, biblioteconomia, documentazione, library and information science). Dopo una discussione del termine e del concetto di 'disciplina', vengono prese in esame alcune delle caratteristiche dei campi disciplinari oggetto della ricerca, e successivamente ne vengono valutati comparativamente i punti di intersezione e di contatto. Il paragrafo finale, dopo aver riepilogato gli esiti dell'analisi della letteratura utilizzata, propone alcune considerazioni generali, che riguardano principalmente un possibile atteggiamento interpretativo, panoramico ed olistico, riferito alla mutazione digitale in atto. Viene mostrata la necessità di una prospettiva teorica e metodologica convintamente transdisciplinare, che sappia muoversi in modo equilibrato e consapevole tra ampiezza dei cultural e media studies, rigore teoretico della filosofia e 'lunga durata' dei processi storici, tutti necessari per comprendere gli elementi di novità, soprattutto antropologici, distribuiti nell'infosfera. L'obiettivo è quello di favorire il superamento della percezione inquietante (weirdness) che gli effetti del potere computazionale delle macchine generano, e definire le condizioni di fondo per nuovi ambienti biblioteconomici e bibliotecari, capaci di interpretare le tensioni di un Antropocene oramai post-umano.",,,,ISSN: 2280-9112; EISSN: 2239-6152; EISSN: 2239-6144; DOI: 10.2426/aibstudi-12471,,,Rome: Associazione Italiana di Aeronautica,,,,,,,Library & Information Science Abstracts (LISA); Scopus; Free E- Journals,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_proquest_reports_2519879710
Proceso constituyente en Chile y elección de pueblos originarios: Un análisis semántico con Digital Humanities,"Ojeda-Pereira, Iván","Revista mad, 2022-10, Vol.46 (46), p.21-39",,Digital Humanities ;   Comparative Politics ;   Constituent Process ;   Native Peoples ;   South America,,,"En este artículo exploramos la contienda electoral por los escaños reservados para representar a los pueblos originarios en la convención constitucional en Chile a nivel de debate programático y de contenido. Así, construimos nuestro enfoque recuperando: i) las potencialidades de la política comparada entre actores y ii) el concepto de semántica desde la tradición sistémica. Metodológicamente, nuestra propuesta emplea herramientas de Digital Humanities, las cuales han sido escasamente utilizadas en la discusión nacional. Los resultados dan cuenta de una semántica transversal presente en electos y no electo y, en las distinciones entre actores, identificamos una semántica cultural-particularista en candidatos no electos, y una universalista en quienes fueron electos y electas. Finalmente, en la discusión, a la luz de los resultados argumentamos que es necesario avanzar en la comprensión de la heterogeneidad y diferencia dentro de los pueblos originarios, y también, en comprender las semánticas políticas desde su multiescalaridad y flexibilidad.",,,,ISSN: 0718-0527; EISSN: 0718-0527; DOI: 10.5354/0719-0527.2022.68478,,,,,,,,,,Eureka (OCUL); Scopus,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_crossref_primary_10_5354_0719_0527_2022_68478
Visual Text Analysis in Digital Humanities,"Jänicke, S. ;  Franzini, G. ;  Cheema, M. F. ;  Scheuermann, G.","Computer graphics forum, 2017-09, Vol.36 (6), p.226-250",,"digital humanities ;   close reading ;   Computer Science ;   Computer Science, Software Engineering ;   Data mining ;   distant reading ;   H.5.2 [Information Interfaces and Presentation]: User Interfaces–Evaluation/methodology ;   Reading ;   Science & Technology ;   survey ;   Taxonomy ;   Technology ;   Text analysis ;   visual text analysis",,,"In 2005, Franco Moretti introduced Distant Reading to analyse entire literary text collections. This was a rather revolutionary idea compared to the traditional Close Reading, which focuses on the thorough interpretation of an individual work. Both reading techniques are the prior means of Visual Text Analysis. We present an overview of the research conducted since 2005 on supporting text analysis tasks with close and distant reading visualizations in the digital humanities. Therefore, we classify the observed papers according to a taxonomy of text analysis tasks, categorize applied close and distant reading techniques to support the investigation of these tasks and illustrate approaches that combine both reading techniques in order to provide a multi‐faceted view of the textual data. In addition, we take a look at the used text sources and at the typical data transformation steps required for the proposed visualizations. Finally, we summarize collaboration experiences when developing visualizations for close and distant reading, and we give an outlook on future challenges in that research area.
In 2005, Franco Moretti introduced Distant Reading to analyse entire literary text collections. This was a rather revolutionary idea compared to the traditional Close Reading, which focuses on the thorough interpretation of an individual work. Both reading techniques are the prior means of Visual Text Analysis. We present an overview of the research conducted since 2005 on supporting text analysis tasks with close and distant reading visualizations in the digital humanities.",,,,ISSN: 0167-7055; EISSN: 1467-8659; DOI: 10.1111/cgf.12873,,,HOBOKEN: Wiley,,,,,,,EBSCOhost Art & Architecture Complete; EBSCOhost Business Source Complete (OCUL); CRKN Wiley Online Library; Web of Science Core Collection; Scopus; Science Citation Index Expanded; Scholars Portal Journals: Wiley Current,,,,,,,,,https://ocul-crl.primo.exlibrisgroup.com/permalink/01OCUL_CRL/17erkeh/cdi_crossref_primary_10_1111_cgf_12873
